"","iso3c","undiscvsly_pp_gdppc_low","undiscvsly_pp_gdppc_med","undiscvsly_pp_gdppc_high"
"1","AFG",23.8576797980034,25.6853254544922,27.0807450922754
"2","AGO",27.0895971787299,29.1426858357851,31.8104212439455
"3","ALB",37.3019244545636,45.4687220970098,50.4704405367561
"4","ARE",13.6788366985515,15.1343872664719,17.8328957343375
"5","ARG",19.4696105143652,22.6722690336747,26.5987203311819
"6","ARM",37.1259045031946,42.1594062620145,45.7071567834924
"7","ATG",34.8226358912158,40.4746733728178,64.3397597776185
"8","AUS",32.9869656046155,41.6478218871052,66.6968975360998
"9","AUT",45.1651892842728,48.1289502303385,52.4956289312978
"10","AZE",41.3229694972962,45.9001858930873,48.2983504182778
"11","BDI",0.137423119054753,0.572396133079089,0.970439232083807
"12","BEL",76.9479102653168,121.12568606962,161.979777706563
"13","BEN",9.49818383585293,11.252067681387,13.145774233671
"14","BFA",21.4290343984546,24.14981866133,29.9401801584443
"15","BGD",21.7876969254754,25.4510523126617,31.6099118586394
"16","BGR",70.3933026242993,83.6126560559025,91.0171274834929
"17","BHR",14.831423537288,16.7084717530904,20.2253703979321
"18","BHS",42.849046372619,50.5429231036298,55.6023414207188
"19","BIH",52.7614802360264,62.7442254782974,71.1367352147413
"20","BLR",40.7355232639867,47.228972946705,57.1582853027023
"21","BLZ",30.9350767468041,38.5135875090933,42.6582868671778
"22","BOL",20.615269287236,23.6414355678802,25.7639080083119
"23","BRA",40.4929858647594,46.0034801982508,49.0695802556842
"24","BRB",21.4744478100479,31.8757436501662,43.853985573617
"25","BRN",28.4366859492219,33.6607947139257,43.3071919195445
"26","BTN",30.0749374419673,32.3803941836419,34.9977809007256
"27","BWA",12.308551106057,16.0413011277128,18.8164647909099
"28","CAF",17.1444003901268,20.7189654168764,23.7061124283002
"29","CAN",61.974881623231,68.0189230686156,100.379553144984
"30","CHE",38.2770814306567,48.7429973243834,72.8156267594423
"31","CHL",47.6835540873251,50.8559793496572,58.106497294512
"32","CIV",41.5972261133983,46.6831566167662,50.6807497671865
"33","CMR",43.3768340014367,51.9013060581052,59.5436376062986
"34","COD",34.0489591962345,39.0042031497904,44.6505024584413
"35","COG",74.5489703257667,83.4171594878163,93.7033972096416
"36","COL",21.212641764615,25.5261475409295,31.494497488402
"37","COM",23.3237583970954,27.3574450763213,30.8134046098369
"38","CPV",26.0183680499504,29.8354137386046,32.5156740768446
"39","CRI",35.5027549641735,41.0584615399606,45.4188276341845
"40","CYP",34.0959873675387,43.6620438685169,52.9800301123874
"41","CZE",46.0621222269479,55.2337349984674,62.6458725771656
"42","DEU",77.2504074938434,83.1380539212886,90.4476313640754
"43","DJI",36.3660363878116,44.2989091467321,50.6925998963869
"44","DNK",52.5304244933536,57.4932172321507,63.4875092877495
"45","DOM",13.8337098652665,17.3970770180865,21.8191062054243
"46","DZA",13.3715252657223,17.083200032145,22.5141756999846
"47","ECU",17.8160516751656,21.7021245136588,27.8112549038185
"48","EGY",26.3452941633935,30.7263109927579,34.7678412749503
"49","ESP",71.4802044738948,79.5246156457088,91.5075472305201
"50","EST",60.5732347905764,68.9604971067193,75.671207806916
"51","ETH",82.1293096775385,99.606639160286,112.306619510224
"52","FIN",62.0556257747262,66.4976731309458,72.7954936574534
"53","FJI",33.4453454884128,39.0767211007697,46.2764541201135
"54","FRA",70.3555490676483,84.1725208731585,111.79176855765
"55","FSM",NA,NA,NA
"56","GAB",24.6177358936439,28.9518453910533,32.2156211557114
"57","GBR",50.6375656688325,69.2369325602809,108.744723728275
"58","GEO",59.51590627232,63.8689019610974,73.7027482216793
"59","GHA",40.7646015918656,45.66771682963,50.7203072642374
"60","GIN",29.8114683478463,34.2091887890759,39.778986542437
"61","GMB",23.3343315689013,26.0444536653632,28.8976157653327
"62","GNB",147.702633112145,174.031991419137,207.092497521409
"63","GNQ",13.2924966166333,27.2310884336028,33.5675215466762
"64","GRC",79.2168013968729,86.0425285910946,92.0613844720858
"65","GRD",4.44992202325115,6.12647014241141,28.4718471233303
"66","GTM",37.2561595910365,42.529686843871,51.1342100220826
"67","GUY",43.6598405487255,49.0961454890248,52.6661646913924
"68","HND",15.2367346737469,19.6865263080821,21.8804321516476
"69","HRV",66.8538962382792,77.942231932709,85.4464431059994
"70","HTI",8.45679499060729,10.377620270429,12.4760336352816
"71","HUN",41.1007469899904,49.8444225988678,67.1078133469948
"72","IDN",29.8707130401586,36.0444852396979,41.4482661209943
"73","IND",39.6613776168979,44.7858898204796,46.9354423820265
"74","IRL",42.1254740647859,44.6898428171939,46.4933771082684
"75","IRN",17.27803257732,19.7567901692002,23.9909523135774
"76","IRQ",11.5340565638213,14.9528414088865,18.3676472156344
"77","ISL",54.7244039112531,85.39845017509,107.466507118802
"78","ISR",35.5337645072453,39.3676768512149,43.5184687564456
"79","ITA",67.4976826664195,73.8194825637896,80.5303578320013
"80","JAM",19.5102533132836,24.268828695706,28.4767873741422
"81","JOR",33.2613955638726,37.133281972844,39.8273464789396
"82","JPN",20.5433177009919,25.9194282850343,31.6613268441466
"83","KAZ",29.4238771775894,32.2893425526125,36.0195318254336
"84","KEN",34.072259156126,38.9897648475227,42.9274149863962
"85","KGZ",13.7848935506846,19.4298864337106,26.8873750696903
"86","KHM",24.0243210137526,25.3625271159232,26.8166497447929
"87","KOR",63.8561699953854,73.2244739421916,83.1437395349073
"88","KWT",23.2158020737938,26.1042430211645,29.790899006828
"89","LAO",33.8743724748166,35.8371654204072,38.0496645449447
"90","LBN",47.0710552292926,55.6523110493964,63.740241354956
"91","LBR",10.6640333779471,12.069165466779,13.7303248098629
"92","LBY",73.2760693828757,85.123489926351,97.612939258261
"93","LCA",41.4951977767968,46.2013684032304,52.8183579833718
"94","LKA",40.397724081711,43.0295117337087,47.7303730853698
"95","LSO",13.0014315991326,15.2193258369203,17.4723385306446
"96","LTU",66.7173590425185,73.2971694025847,75.9749367053654
"97","LUX",34.5725842319739,40.8069153561175,55.6691436414485
"98","LVA",56.8202415362563,66.3777557167351,70.8129975326003
"99","MAR",28.6857897041336,33.4485701895547,38.9336898130094
"100","MDA",49.5566899630868,56.4970825066727,60.773636495707
"101","MDG",27.7115470307911,35.4537398183923,40.8600736308876
"102","MDV",30.557338728274,33.8315776263535,40.3103666502218
"103","MEX",24.3964709610616,28.9447167891769,32.5112728522803
"104","MKD",43.9704778291722,52.491580452876,60.8978618831205
"105","MLI",31.8723358242665,45.3914306599521,55.1077118205744
"106","MLT",53.8203571733023,61.1573632641122,72.2129639656475
"107","MMR",23.7839851704877,28.6411971648896,34.1772419123139
"108","MNE",45.2868636530771,53.3096316810768,64.5938980375096
"109","MNG",26.0593355030935,27.9541506611665,30.3033376252744
"110","MOZ",10.0032024238833,12.619961851167,15.9381154890851
"111","MRT",24.9956955848205,32.8163311336635,39.2261937326403
"112","MUS",39.992554660352,44.9531973746832,49.5954509108252
"113","MWI",61.3252617347214,65.6593300765019,69.1095908062395
"114","MYS",34.174562151978,39.1489425528594,47.5878918623867
"115","NAM",15.769454081004,21.135890516831,24.9930632683634
"116","NER",55.5984074767566,73.4250080647805,112.611681877141
"117","NGA",91.1428246660608,99.296108929618,104.732552349645
"118","NIC",6.02161104533751,7.2595213399749,8.51516379929688
"119","NLD",51.4666388611543,57.6928795775378,65.8798673019422
"120","NOR",50.0669083987672,55.4115705824865,59.6540767297762
"121","NPL",23.8052111143567,26.9529023798036,35.660798273007
"122","NZL",44.3023608054986,63.8443212890471,80.9244315998639
"123","OMN",6.64370893358632,8.95401655272525,17.058180566357
"124","PAK",21.9926174202423,25.5520039741181,30.9765363337135
"125","PAN",24.6861927074445,30.970650673781,38.6389295986875
"126","PER",10.0251375499197,13.9789218251412,19.0269160519018
"127","PHL",36.1444319779638,43.9979193073449,55.3934005173882
"128","PNG",23.862668913026,30.7469913017234,38.6705373090925
"129","POL",44.8242548287476,49.2847646762969,52.9408553506309
"130","PRT",85.2373600474074,91.1396508921519,123.080130769078
"131","PRY",6.87532512009475,8.45432320749184,9.39647870695476
"132","QAT",19.7933317047635,26.9905895776338,35.1059577883
"133","ROU",49.750632613958,58.6382302645072,66.2768151617772
"134","RUS",62.2137103200551,66.6832440554949,71.5954340661334
"135","RWA",18.2330863944808,21.1052343077876,24.2939844093244
"136","SAU",28.1026671190065,31.2973197672366,35.3376301036875
"137","SDN",21.8483118053608,29.6065149531564,37.5595852020522
"138","SEN",35.0902270672766,40.3897279600867,45.3158931642311
"139","SGP",100.905481333589,122.712520671056,128.384036426064
"140","SLB",NA,NA,NA
"141","SLE",20.9609386699225,31.4542900276267,38.3884694532305
"142","SLV",24.4530643585789,28.6022945955912,30.3654022209718
"143","SOM",19.6334116222258,22.3210203609888,25.1627796755545
"144","SRB",48.4669530341432,57.2008359425371,66.4454795214997
"145","STP",34.1218778958411,40.8348275898232,58.8892498134722
"146","SUR",38.846516677786,44.528346741514,47.2376927831017
"147","SVK",47.2567932544173,55.7278186069063,60.0703324918938
"148","SVN",55.6316814258346,61.9339783873298,69.1141466635317
"149","SWE",33.6238980429604,37.9454079313874,43.4607098050402
"150","SWZ",15.2762438158675,18.4049448996733,21.5570293732437
"151","SYC",27.1593451835535,34.904933942176,46.0770616758629
"152","SYR",21.3481361236345,27.5458661625577,34.2538988689786
"153","TCD",31.6070540533194,42.9973616636262,52.6095966058938
"154","TGO",31.542251862657,34.0257291447841,37.3165074315344
"155","THA",48.3994471952075,59.697943455898,69.7489313471194
"156","TJK",16.2762002664949,23.3306699635814,29.4201906042632
"157","TLS",27.0199986174092,29.5300129144671,31.0366612211822
"158","TTO",37.769761880375,44.8355697926486,54.2791865542364
"159","TUN",25.0718486181218,28.9133283457661,32.616079553776
"160","TUR",35.9605636506273,41.8335687370215,45.9671749771058
"161","TZA",19.0973883854921,26.1521675246178,30.876674748561
"162","UGA",66.9353553445934,75.6898878609628,82.6157118920293
"163","UKR",41.8600081043523,49.4499858344421,56.3819533203059
"164","URY",64.6618280398885,87.4683421253965,107.126571216417
"165","USA",52.9007191589359,57.8650200668221,63.0028227812613
"166","UZB",16.7301732066226,23.2801183512089,28.9307715003215
"167","VCT",24.979321629809,34.2035977661068,62.5540959355919
"168","VNM",42.889758324717,52.7080573694916,65.075881510342
"169","VUT",0.0573618776924486,0.398210760228872,22.5857189750724
"170","ZAF",25.6683221952509,32.2665502229722,39.552057296933
"171","ZMB",29.1038241258858,33.8968099817511,37.5462175838863
"172","ZWE",17.5498134710008,20.1083826260898,22.91646704509
